#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
147,308,1,0,0,0,78,6853
148,288,1,0,0,0,78,6853
149,310,1,0,0,0,78,6888
150,315,1,0,0,0,78,6923
151,296,1,0,0,0,78,6923
152,302,1,0,0,0,78,6958
153,308,1,0,0,0,78,6993
154,302,1,0,0,0,78,7028
155,296,1,0,0,0,78,7063
156,296,1,0,0,0,78,7133
157,302,1,0,0,0,78,7168
158,308,1,0,0,0,78,7203
159,286,1,0,0,0,78,7203
160,293,1,0,0,0,78,7273
161,301,1,0,0,0,78,7343
162,302,1,0,0,0,78,7378
163,314,1,0,0,0,78,7413
164,299,1,0,0,0,78,7448
165,315,1,0,0,0,78,7483
166,302,1,0,0,0,78,7518
167,285,1,0,0,0,78,7518
168,286,1,0,0,0,78,7553
169,299,1,0,0,0,78,7588
170,286,1,0,0,0,78,7623
171,287,1,0,0,0,78,7658
172,295,1,0,0,0,78,7693
173,286,1,0,0,0,78,7728
174,285,1,0,0,0,78,7763
175,288,1,0,0,0,78,7833
176,294,1,0,0,0,78,7868
177,313,1,0,0,0,78,7903
178,291,1,0,0,0,78,7903
179,311,1,0,0,0,78,7938
180,290,1,0,0,0,78,7938
181,296,1,0,0,0,78,7973
182,298,1,0,0,0,78,8008
183,313,1,0,0,0,78,8043
184,290,1,0,0,0,78,8043
185,314,1,0,0,0,78,8078
186,289,1,0,0,0,78,8078
187,291,1,0,0,0,78,8113
188,305,1,0,0,0,78,8148
189,300,1,0,0,0,78,8183
190,308,1,0,0,0,78,8218
191,286,1,0,0,0,78,8253
192,287,1,0,0,0,78,8288
193,294,1,0,0,0,78,8358
194,297,1,0,0,0,78,8393
195,288,1,0,0,0,78,8428
196,293,1,0,0,0,78,8463
197,306,1,0,0,0,78,8498
198,297,1,0,0,0,78,8533
199,311,1,0,0,0,78,8568
200,284,1,0,0,0,78,8568
201,291,1,0,0,0,78,8603
202,295,1,0,0,0,78,8638
203,306,1,0,0,0,78,8673
204,308,1,0,0,0,78,8708
205,311,1,0,0,0,78,8743
206,303,1,0,0,0,78,8778
207,303,1,0,0,0,78,8813
208,312,1,0,0,0,78,8848
209,307,1,0,0,0,78,8883
210,286,1,0,0,0,78,8883
211,298,1,0,0,0,78,8918
212,290,1,0,0,0,78,8953
213,313,1,0,0,0,78,9023
214,288,1,0,0,0,78,9058
215,315,1,0,0,0,78,9128
216,302,1,0,0,0,78,9163
217,297,1,0,0,0,78,9198
218,312,1,0,0,0,78,9268
219,313,1,0,0,0,78,9303
220,308,1,0,0,0,78,9338
221,312,1,0,0,0,78,9373
222,296,1,0,0,0,78,9408
223,292,1,0,0,0,78,9443
224,294,1,0,0,0,78,9478
225,302,1,0,0,0,78,9513
226,310,1,0,0,0,78,9548
227,312,1,0,0,0,78,9583
228,287,1,0,0,0,78,9583
229,303,1,0,0,0,78,9618
230,312,1,0,0,0,78,9653
231,307,1,0,0,0,78,9688
232,299,1,0,0,0,78,9723
233,309,1,0,0,0,78,9758
234,307,1,0,0,0,78,9793
235,285,1,0,0,0,78,9828
236,305,1,0,0,0,78,9863
237,290,1,0,0,0,78,9863
238,303,1,0,0,0,78,9898
239,294,1,0,0,0,78,9933
240,313,1,0,0,0,78,9968
241,286,1,0,0,0,78,9968
242,293,1,0,0,0,78,10003
243,293,1,0,0,0,78,10038
244,308,1,0,0,0,78,10108
245,316,1,0,0,0,78,10178
246,309,1,0,0,0,78,10248
247,292,1,0,0,0,78,10283
248,302,1,0,0,0,78,10318
249,313,1,0,0,0,78,10353
250,285,1,0,0,0,78,10353
251,297,1,0,0,0,78,10388
252,292,1,0,0,0,78,10423
253,303,1,0,0,0,78,10493
254,283,1,0,0,0,78,10528
255,309,1,0,0,0,78,10598
256,299,1,0,0,0,78,10633
257,284,1,0,0,0,78,10668
258,316,1,0,0,0,78,10773
259,304,1,0,0,0,78,10808
260,302,1,0,0,0,78,10878
261,294,1,0,0,0,78,10913
262,298,1,0,0,0,78,10983
263,300,1,0,0,0,78,11018
264,296,1,0,0,0,78,11123
265,285,1,0,0,0,78,11158
266,314,1,0,0,0,78,11228
267,293,1,0,0,0,78,11228
268,300,1,0,0,0,78,11263
269,307,1,0,0,0,78,11298
270,313,1,0,0,0,78,11333
271,288,1,0,0,0,78,11333
272,302,1,0,0,0,78,11368
273,314,1,0,0,0,78,11403
274,310,1,0,0,0,78,11438
275,316,1,0,0,0,78,11473
276,312,1,0,0,0,78,11508
277,292,1,0,0,0,78,11508
278,305,1,0,0,0,78,11543
279,307,1,0,0,0,78,11577
280,311,1,0,0,0,78,11612
281,286,1,0,0,0,78,11612
282,298,1,0,0,0,78,11682
283,305,1,0,0,0,78,11717
284,306,1,0,0,0,78,11752
285,284,1,0,0,0,78,11752
286,291,1,0,0,0,78,11787
287,300,1,0,0,0,78,11822
288,295,1,0,0,0,78,11857
289,308,1,0,0,0,78,11892
290,301,1,0,0,0,78,11927
291,300,1,0,0,0,78,11962
292,291,1,0,0,0,78,11997
293,304,1,0,0,0,78,12032
294,299,1,0,0,0,78,12067
295,307,1,0,0,0,78,12102
296,302,1,0,0,0,78,12137
297,315,1,0,0,0,78,12172
298,315,1,0,0,0,78,12207
299,308,1,0,0,0,78,12242
300,296,1,0,0,0,78,12277
301,305,1,0,0,0,78,12312
302,316,1,0,0,0,78,12347
303,316,1,0,0,0,78,12382
304,293,1,0,0,0,78,12382
305,294,1,0,0,0,78,12417
306,310,1,0,0,0,78,12452
307,286,1,0,0,0,78,12452
308,290,1,0,0,0,78,12487
309,314,1,0,0,0,78,12557
310,308,1,0,0,0,78,12591
311,305,1,0,0,0,78,12625
312,316,1,0,0,0,78,12660
313,300,1,0,0,0,78,12695
314,306,1,0,0,0,78,12730
315,301,1,0,0,0,78,12765
316,283,1,0,0,0,78,12800
317,315,1,0,0,0,78,12868
318,299,1,0,0,0,78,12902
319,301,1,0,0,0,78,12936
320,301,1,0,0,0,78,13003
321,315,1,0,0,0,78,13071
322,305,1,0,0,0,78,13105
323,304,1,0,0,0,78,13139
324,290,1,0,0,0,78,13172
325,292,1,0,0,0,78,13205
326,300,1,0,0,0,78,13273
327,301,1,0,0,0,78,13307
328,299,1,0,0,0,78,13341
329,310,1,0,0,0,78,13375
330,303,1,0,0,0,78,13409
331,316,1,0,0,0,78,13443
332,290,1,0,0,0,78,13477
333,297,1,0,0,0,78,13511
334,315,1,0,0,0,78,13579
335,308,1,0,0,0,78,13613
336,304,1,0,0,0,78,13681
337,292,1,0,0,0,78,13714
338,315,1,0,0,0,78,13782
339,305,1,0,0,0,78,13849
340,296,1,0,0,0,78,13917
341,306,1,0,0,0,78,14019
342,306,1,0,0,0,78,14087
343,294,1,0,0,0,78,14121
344,302,1,0,0,0,78,14155
345,284,1,0,0,0,78,14190
346,305,1,0,0,0,78,14260
347,307,1,0,0,0,78,14295
348,283,1,0,0,0,78,14295
349,295,1,0,0,0,78,14330
350,305,1,0,0,0,78,14365
351,309,1,0,0,0,78,14435
352,287,1,0,0,0,78,14470
353,292,1,0,0,0,78,14540
354,290,1,0,0,0,78,14610
355,292,1,0,0,0,78,14680
356,286,1,0,0,0,78,14715
357,288,1,0,0,0,78,14750
358,284,1,0,0,0,78,14785
359,288,1,0,0,0,78,14820
360,285,1,0,0,0,78,14855
361,299,1,0,0,0,78,14890
362,299,1,0,0,0,78,14925
363,309,1,0,0,0,78,14960
364,294,1,0,0,0,78,14995
365,301,1,0,0,0,78,15030
366,301,1,0,0,0,78,15065
367,313,1,0,0,0,78,15100
368,316,1,0,0,0,78,15170
369,304,1,0,0,0,78,15205
370,308,1,0,0,0,78,15240
371,317,1,0,0,0,78,15275
372,307,1,0,0,0,78,15310
373,313,1,0,0,0,78,15345
374,302,1,0,0,0,78,15345
375,307,1,0,0,0,78,15415
376,0,1,1,0,0,78,15485
